"Market and Exchange Names","As of Date in Form YYMMDD","As of Date in Form YYYY-MM-DD","CFTC Contract Market Code","CFTC Market Code in Initials","CFTC Region Code","CFTC Commodity Code","Open Interest (All)","Noncommercial Positions-Long (All)","Noncommercial Positions-Short (All)","Noncommercial Positions-Spreading (All)","Commercial Positions-Long (All)","Commercial Positions-Short (All)"," Total Reportable Positions-Long (All)","Total Reportable Positions-Short (All)","Nonreportable Positions-Long (All)","Nonreportable Positions-Short (All)","Open Interest (Old)","Noncommercial Positions-Long (Old)","Noncommercial Positions-Short (Old)","Noncommercial Positions-Spreading (Old)","Commercial Positions-Long (Old)","Commercial Positions-Short (Old)","Total Reportable Positions-Long (Old)","Total Reportable Positions-Short (Old)","Nonreportable Positions-Long (Old)","Nonreportable Positions-Short (Old)","Open Interest (Other)","Noncommercial Positions-Long (Other)","Noncommercial Positions-Short (Other)","Noncommercial Positions-Spreading (Other)","Commercial Positions-Long (Other)","Commercial Positions-Short (Other)","Total Reportable Positions-Long (Other)","Total Reportable Positions-Short (Other)","Nonreportable Positions-Long (Other)","Nonreportable Positions-Short (Other)","Change in Open Interest (All)","Change in Noncommercial-Long (All)","Change in Noncommercial-Short (All)","Change in Noncommercial-Spreading (All)","Change in Commercial-Long (All)","Change in Commercial-Short (All)","Change in Total Reportable-Long (All)","Change in Total Reportable-Short (All)","Change in Nonreportable-Long (All)","Change in Nonreportable-Short (All)","% of Open Interest (OI) (All)","% of OI-Noncommercial-Long (All)","% of OI-Noncommercial-Short (All)","% of OI-Noncommercial-Spreading (All)","% of OI-Commercial-Long (All)","% of OI-Commercial-Short (All)","% of OI-Total Reportable-Long (All)","% of OI-Total Reportable-Short (All)","% of OI-Nonreportable-Long (All)","% of OI-Nonreportable-Short (All)","% of Open Interest (OI)(Old)","% of OI-Noncommercial-Long (Old)","% of OI-Noncommercial-Short (Old)","% of OI-Noncommercial-Spreading (Old)","% of OI-Commercial-Long (Old)","% of OI-Commercial-Short (Old)","% of OI-Total Reportable-Long (Old)","% of OI-Total Reportable-Short (Old)","% of OI-Nonreportable-Long (Old)","% of OI-Nonreportable-Short (Old)","% of Open Interest (OI) (Other)","% of OI-Noncommercial-Long (Other)","% of OI-Noncommercial-Short (Other)","% of OI-Noncommercial-Spreading (Other)","% of OI-Commercial-Long (Other)","% of OI-Commercial-Short (Other)","% of OI-Total Reportable-Long (Other)","% of OI-Total Reportable-Short (Other)","% of OI-Nonreportable-Long (Other)","% of OI-Nonreportable-Short (Other)","Traders-Total (All)","Traders-Noncommercial-Long (All)","Traders-Noncommercial-Short (All)","Traders-Noncommercial-Spreading (All)","Traders-Commercial-Long (All)","Traders-Commercial-Short (All)","Traders-Total Reportable-Long (All)","Traders-Total Reportable-Short (All)","Traders-Total (Old)","Traders-Noncommercial-Long (Old)","Traders-Noncommercial-Short (Old)","Traders-Noncommercial-Spreading (Old)","Traders-Commercial-Long (Old)","Traders-Commercial-Short (Old)","Traders-Total Reportable-Long (Old)","Traders-Total Reportable-Short (Old)","Traders-Total (Other)","Traders-Noncommercial-Long (Other)","Traders-Noncommercial-Short (Other)","Traders-Noncommercial-Spreading (Other)","Traders-Commercial-Long (Other)","Traders-Commercial-Short (Other)","Traders-Total Reportable-Long (Other)","Traders-Total Reportable-Short (Other)","Concentration-Gross LT = 4 TDR-Long (All)","Concentration-Gross LT =4 TDR-Short (All)","Concentration-Gross LT =8 TDR-Long (All)","Concentration-Gross LT =8 TDR-Short (All)","Concentration-Net LT =4 TDR-Long (All)","Concentration-Net LT =4 TDR-Short (All)","Concentration-Net LT =8 TDR-Long (All)","Concentration-Net LT =8 TDR-Short (All)","Concentration-Gross LT =4 TDR-Long (Old)","Concentration-Gross LT =4 TDR-Short (Old)","Concentration-Gross LT =8 TDR-Long (Old)","Concentration-Gross LT =8 TDR-Short (Old)","Concentration-Net LT =4 TDR-Long (Old)","Concentration-Net LT =4 TDR-Short (Old)","Concentration-Net LT =8 TDR-Long (Old)","Concentration-Net LT =8 TDR-Short (Old)","Concentration-Gross LT =4 TDR-Long (Other)","Concentration-Gross LT =4 TDR-Short(Other)","Concentration-Gross LT =8 TDR-Long (Other)","Concentration-Gross LT =8 TDR-Short(Other)","Concentration-Net LT =4 TDR-Long (Other)","Concentration-Net LT =4 TDR-Short (Other)","Concentration-Net LT =8 TDR-Long (Other)","Concentration-Net LT =8 TDR-Short (Other)","Contract Units","CFTC Contract Market Code (Quotes)","CFTC Market Code in Initials (Quotes)","CFTC Commodity Code (Quotes)"
"WHEAT-SRW - CHICAGO BOARD OF TRADE",260303,2026-03-03,001602,CBT ,00,001 ,  446488,  121504,  147512,  145566,  146569,  119097,  413639,  412175,   32849,   34313,  228753,  133953,  137488,   23149,   52806,   50856,  209908,  211493,   18845,   17260,  217735,   78494,  100967,   31474,   93763,   68241,  203731,  200682,   14004,   17053,   -9667,  -12610,   -2690,    3480,   -2319,   -9430,  -11449,   -8640,    1782,   -1027,  100.0,   27.2,   33.0,   32.6,   32.8,   26.7,   92.6,   92.3,    7.4,    7.7,  100.0,   58.6,   60.1,   10.1,   23.1,   22.2,   91.8,   92.5,    8.2,    7.5,  100.0,   36.1,   46.4,   14.5,   43.1,   31.3,   93.6,   92.2,    6.4,    7.8,    355,    103,    107,    119,     87,    102,    264,    271,    324,    108,     98,     28,     53,     72,    176,    183,    265,     77,     77,     53,     63,     84,    168,    190,    14.9,    12.8,    24.0,    21.2,     9.9,     8.2,    17.2,    13.6,    21.4,    15.3,    30.3,    26.9,    18.3,    14.8,    27.1,    25.4,    20.0,    19.2,    32.3,    30.4,    19.6,    16.7,    30.5,    27.3,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 "
"WHEAT-SRW - CHICAGO BOARD OF TRADE",260224,2026-02-24,001602,CBT ,00,001 ,  456155,  134114,  150202,  142086,  148888,  128527,  425088,  420815,   31067,   35340,  248745,  147200,  136707,   28666,   53971,   63623,  229837,  228996,   18908,   19749,  207410,   66235,   92816,   34099,   94917,   64904,  195251,  191819,   12159,   15591,  -16165,   12065,  -26905,   -8301,  -18819,   19204,  -15055,  -16002,   -1110,    -163,  100.0,   29.4,   32.9,   31.1,   32.6,   28.2,   93.2,   92.3,    6.8,    7.7,  100.0,   59.2,   55.0,   11.5,   21.7,   25.6,   92.4,   92.1,    7.6,    7.9,  100.0,   31.9,   44.8,   16.4,   45.8,   31.3,   94.1,   92.5,    5.9,    7.5,    351,    109,    108,    121,     89,    104,    270,    270,    323,    111,     96,     48,     61,     81,    195,    202,    256,     82,     71,     57,     65,     76,    171,    182,    14.4,    13.4,    24.6,    22.4,    11.4,     9.0,    18.9,    14.9,    21.6,    14.7,    30.6,    25.9,    18.5,    14.7,    26.9,    24.4,    20.0,    20.5,    32.0,    31.4,    19.5,    17.6,    30.8,    28.4,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 "
"WHEAT-SRW - CHICAGO BOARD OF TRADE",260217,2026-02-17,001602,CBT ,00,001 ,  472320,  122049,  177107,  150387,  167707,  109323,  440143,  436817,   32177,   35503,  280436,  138117,  152697,   50344,   70530,   55718,  258991,  258759,   21445,   21677,  191884,   55851,   96329,   28124,   97177,   53605,  181152,  178058,   10732,   13826,  -49504,   -3538,  -19738,  -22807,  -21542,   -8035,  -47887,  -50580,   -1617,    1076,  100.0,   25.8,   37.5,   31.8,   35.5,   23.1,   93.2,   92.5,    6.8,    7.5,  100.0,   49.3,   54.4,   18.0,   25.2,   19.9,   92.4,   92.3,    7.6,    7.7,  100.0,   29.1,   50.2,   14.7,   50.6,   27.9,   94.4,   92.8,    5.6,    7.2,    357,    116,    109,    128,     94,     94,    283,    271,    334,    117,     98,     68,     75,     78,    227,    213,    245,     74,     71,     51,     68,     68,    169,    166,    14.3,    13.4,    23.8,    21.7,    10.4,     8.2,    17.4,    14.0,    19.5,    14.2,    27.1,    25.1,    15.8,    13.6,    22.9,    23.0,    21.1,    19.3,    35.4,    31.5,    20.1,    15.5,    32.2,    27.3,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 "
"WHEAT-SRW - CHICAGO BOARD OF TRADE",260210,2026-02-10,001602,CBT ,00,001 ,  521824,  125587,  196845,  173194,  189249,  117358,  488030,  487397,   33794,   34427,  352049,  140507,  173182,   89152,   97695,   66838,  327354,  329172,   24695,   22877,  169775,   46328,   84911,   22794,   91554,   50520,  160676,  158225,    9099,   11550,  -21608,    4268,   10030,  -18541,   -9301,  -14128,  -23574,  -22639,    1966,    1031,  100.0,   24.1,   37.7,   33.2,   36.3,   22.5,   93.5,   93.4,    6.5,    6.6,  100.0,   39.9,   49.2,   25.3,   27.8,   19.0,   93.0,   93.5,    7.0,    6.5,  100.0,   27.3,   50.0,   13.4,   53.9,   29.8,   94.6,   93.2,    5.4,    6.8,    359,    110,    117,    132,     91,     92,    279,    276,    339,    110,    108,     86,     76,     67,    234,    221,    235,     69,     65,     54,     65,     68,    164,    161,    14.3,    13.1,    23.8,    22.8,     9.2,     7.9,    15.1,    14.2,    17.0,    16.9,    27.2,    27.4,    13.2,    11.7,    20.1,    20.4,    21.8,    21.2,    36.2,    35.1,    20.8,    20.9,    34.3,    33.8,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 "
"WHEAT-SRW - CHICAGO BOARD OF TRADE",260203,2026-02-03,001602,CBT ,00,001 ,  543432,  121319,  186815,  191735,  198550,  131486,  511604,  510036,   31828,   33396,  386876,  140467,  168876,  110326,  112670,   84712,  363463,  363914,   23413,   22962,  156556,   39860,   76947,   22401,   85880,   46774,  148141,  146122,    8415,   10434,    7404,    1498,  -12396,    3693,    2829,   13128,    8020,    4425,    -616,    2979,  100.0,   22.3,   34.4,   35.3,   36.5,   24.2,   94.1,   93.9,    5.9,    6.1,  100.0,   36.3,   43.7,   28.5,   29.1,   21.9,   93.9,   94.1,    6.1,    5.9,  100.0,   25.5,   49.1,   14.3,   54.9,   29.9,   94.6,   93.3,    5.4,    6.7,    362,    107,    119,    130,     91,     92,    273,    281,    344,    114,    107,     91,     81,     73,    236,    237,    229,     60,     69,     47,     63,     69,    150,    161,    13.6,    11.9,    22.3,    20.7,     9.2,     7.1,    14.3,    13.2,    14.9,    15.2,    24.2,    25.2,    10.3,    10.2,    17.0,    18.5,    21.4,    19.9,    36.4,    35.5,    20.9,    19.5,    35.0,    34.9,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 "
"WHEAT-SRW - CHICAGO BOARD OF TRADE",260127,2026-01-27,001602,CBT ,00,001 ,  536028,  119821,  199211,  188042,  195721,  118358,  503584,  505611,   32444,   30417,  389937,  148139,  185929,  105409,  112029,   77219,  365577,  368557,   24360,   21380,  146091,   34729,   76329,   19586,   83692,   41139,  138007,  137054,    8084,    9037,   16797,   -4794,  -19134,   20879,     485,   13966,   16570,   15711,     227,    1086,  100.0,   22.4,   37.2,   35.1,   36.5,   22.1,   93.9,   94.3,    6.1,    5.7,  100.0,   38.0,   47.7,   27.0,   28.7,   19.8,   93.8,   94.5,    6.2,    5.5,  100.0,   23.8,   52.2,   13.4,   57.3,   28.2,   94.5,   93.8,    5.5,    6.2,    376,    115,    125,    135,     92,     92,    281,    289,    361,    122,    116,     93,     80,     75,    246,    243,    230,     58,     71,     48,     64,     66,    150,    160,    13.6,    14.9,    22.0,    23.7,     8.6,     8.5,    14.5,    15.8,    16.6,    17.8,    25.7,    27.9,     9.8,    11.3,    16.3,    20.3,    23.0,    22.5,    37.6,    37.9,    23.0,    22.3,    37.6,    37.1,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 "
"WHEAT-SRW - CHICAGO BOARD OF TRADE",260120,2026-01-20,001602,CBT ,00,001 ,  519231,  124615,  218345,  167163,  195236,  104392,  487014,  489900,   32217,   29331,  383366,  149099,  198121,   95029,  113874,   69033,  358002,  362183,   25364,   21183,  135865,   29923,   74631,   17727,   81362,   35359,  129012,  127717,    6853,    8148,    5521,   -3552,    4153,     768,    6520,     554,    3736,    5475,    1785,      46,  100.0,   24.0,   42.1,   32.2,   37.6,   20.1,   93.8,   94.4,    6.2,    5.6,  100.0,   38.9,   51.7,   24.8,   29.7,   18.0,   93.4,   94.5,    6.6,    5.5,  100.0,   22.0,   54.9,   13.0,   59.9,   26.0,   95.0,   94.0,    5.0,    6.0,    383,    117,    126,    123,    103,     91,    282,    286,    368,    117,    122,     84,     94,     70,    249,    239,    223,     56,     66,     46,     63,     68,    148,    154,    13.6,    14.6,    22.3,    23.8,     9.2,     9.1,    15.4,    16.5,    17.1,    16.8,    25.4,    27.3,    10.2,    11.6,    17.0,    20.5,    25.0,    25.1,    40.0,    39.5,    25.0,    24.9,    40.0,    38.8,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 "
"WHEAT-SRW - CHICAGO BOARD OF TRADE",260113,2026-01-13,001602,CBT ,00,001 ,  513710,  128167,  214192,  166395,  188716,  103838,  483278,  484425,   30432,   29285,  382948,  146928,  192410,  100672,  111376,   68429,  358976,  361511,   23972,   21437,  130762,   30961,   71504,   16001,   77340,   35409,  124302,  122914,    6460,    7848,   12942,     176,   -1890,    9741,    5307,    5399,   15224,   13250,   -2282,    -308,  100.0,   24.9,   41.7,   32.4,   36.7,   20.2,   94.1,   94.3,    5.9,    5.7,  100.0,   38.4,   50.2,   26.3,   29.1,   17.9,   93.7,   94.4,    6.3,    5.6,  100.0,   23.7,   54.7,   12.2,   59.1,   27.1,   95.1,   94.0,    4.9,    6.0,    380,    114,    128,    123,     99,     94,    276,    290,    369,    118,    122,     88,     90,     75,    244,    250,    221,     54,     68,     40,     62,     68,    142,    152,    13.6,    14.6,    22.4,    24.0,     9.6,     9.6,    15.7,    16.7,    16.8,    16.8,    25.8,    27.6,    10.2,    12.0,    16.3,    20.4,    25.6,    23.3,    39.8,    39.3,    25.5,    23.2,    39.7,    38.8,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 "
"WHEAT-SRW - CHICAGO BOARD OF TRADE",260106,2026-01-06,001602,CBT ,00,001 ,  500768,  127991,  216082,  156654,  183409,   98439,  468054,  471175,   32714,   29593,  386749,  140825,  195165,   95747,  123720,   73569,  360292,  364481,   26457,   22268,  114019,   31770,   65521,   16303,   59689,   24870,  107762,  106694,    6257,    7325,   12280,   -4124,   12976,    4769,    8192,   -6802,    8837,   10943,    3443,    1337,  100.0,   25.6,   43.2,   31.3,   36.6,   19.7,   93.5,   94.1,    6.5,    5.9,  100.0,   36.4,   50.5,   24.8,   32.0,   19.0,   93.2,   94.2,    6.8,    5.8,  100.0,   27.9,   57.5,   14.3,   52.4,   21.8,   94.5,   93.6,    5.5,    6.4,    374,    118,    126,    118,     94,     91,    269,    282,    364,    119,    120,     86,     86,     75,    240,    247,    215,     55,     61,     41,     59,     66,    137,    149,    13.0,    15.4,    21.6,    25.3,     9.2,    10.7,    14.1,    17.8,    14.9,    18.0,    24.1,    28.3,    10.0,    12.9,    16.1,    21.3,    23.7,    24.8,    38.3,    40.4,    23.6,    24.7,    38.0,    39.9,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 "
"WHEAT-HRW - CHICAGO BOARD OF TRADE",260303,2026-03-03,001612,CBT ,00,001 ,  291526,   86558,   84745,   76645,  112635,  110144,  275838,  271534,   15688,   19992,  161022,   91511,   78930,    7251,   52442,   63759,  151204,  149940,    9818,   11082,  130504,   48128,   58896,   16313,   60193,   46385,  124634,  121594,    5870,    8910,  -14007,   -6866,    -413,   -2772,   -3156,  -11387,  -12794,  -14572,   -1213,     565,  100.0,   29.7,   29.1,   26.3,   38.6,   37.8,   94.6,   93.1,    5.4,    6.9,  100.0,   56.8,   49.0,    4.5,   32.6,   39.6,   93.9,   93.1,    6.1,    6.9,  100.0,   36.9,   45.1,   12.5,   46.1,   35.5,   95.5,   93.2,    4.5,    6.8,    253,     62,     76,     70,     79,     84,    184,    191,    234,     63,     67,     18,     46,     66,    115,    145,    198,     44,     53,     38,     64,     74,    132,    142,    15.0,    14.6,    25.7,    24.2,    12.2,    11.8,    21.2,    18.9,    19.4,    20.3,    33.1,    32.0,    19.0,    20.3,    32.7,    31.9,    21.5,    22.5,    35.6,    36.4,    20.1,    20.8,    33.9,    33.3,"(CONTRACTS OF 5,000 BUSHELS)","001612","CBT ","001 "
