cftc_commodity_code,cftc_contract_market_code,cftc_market_code,cftc_region_code,cftc_subgroup_code,change_in_m_money_long_all,change_in_m_money_short_all,change_in_m_money_spread,change_in_nonrept_long_all,change_in_nonrept_short_all,change_in_open_interest_all,change_in_other_rept_long,change_in_other_rept_short,change_in_other_rept_spread,change_in_prod_merc_long,change_in_prod_merc_short,change_in_swap_long_all,change_in_swap_short_all,change_in_swap_spread_all,change_in_tot_rept_long_all,change_in_tot_rept_short,commodity,commodity_group_name,commodity_name,commodity_subgroup_name,conc_gross_le_4_tdr_long,conc_gross_le_4_tdr_long_1,conc_gross_le_4_tdr_long_2,conc_gross_le_4_tdr_short,conc_gross_le_4_tdr_short_1,conc_gross_le_4_tdr_short_2,conc_gross_le_8_tdr_long,conc_gross_le_8_tdr_long_1,conc_gross_le_8_tdr_long_2,conc_gross_le_8_tdr_short,conc_gross_le_8_tdr_short_1,conc_gross_le_8_tdr_short_2,conc_net_le_4_tdr_long_all,conc_net_le_4_tdr_long_old,conc_net_le_4_tdr_long_other,conc_net_le_4_tdr_short_all,conc_net_le_4_tdr_short_old,conc_net_le_4_tdr_short_other,conc_net_le_8_tdr_long_all,conc_net_le_8_tdr_long_old,conc_net_le_8_tdr_long_other,conc_net_le_8_tdr_short_all,conc_net_le_8_tdr_short_old,conc_net_le_8_tdr_short_other,contract_market_name,contract_units,futonly_or_combined,id,m_money_positions_long_all,m_money_positions_long_old,m_money_positions_long_other,m_money_positions_short_all,m_money_positions_short_old,m_money_positions_short_other,m_money_positions_spread,m_money_positions_spread_1,m_money_positions_spread_2,market_and_exchange_names,nonrept_positions_long_all,nonrept_positions_long_old,nonrept_positions_long_other,nonrept_positions_short_all,nonrept_positions_short_old,nonrept_positions_short_other,open_interest_all,open_interest_old,open_interest_other,other_rept_positions_long,other_rept_positions_long_1,other_rept_positions_long_2,other_rept_positions_short,other_rept_positions_short_1,other_rept_positions_short_2,other_rept_positions_spread,other_rept_positions_spread_1,other_rept_positions_spread_2,pct_of_oi_m_money_long_all,pct_of_oi_m_money_long_old,pct_of_oi_m_money_long_other,pct_of_oi_m_money_short_all,pct_of_oi_m_money_short_old,pct_of_oi_m_money_short_other,pct_of_oi_m_money_spread,pct_of_oi_m_money_spread_1,pct_of_oi_m_money_spread_2,pct_of_oi_nonrept_long_all,pct_of_oi_nonrept_long_old,pct_of_oi_nonrept_long_other,pct_of_oi_nonrept_short_all,pct_of_oi_nonrept_short_old,pct_of_oi_nonrept_short_other,pct_of_oi_other_rept_long,pct_of_oi_other_rept_long_1,pct_of_oi_other_rept_long_2,pct_of_oi_other_rept_short,pct_of_oi_other_rept_short_1,pct_of_oi_other_rept_short_2,pct_of_oi_other_rept_spread,pct_of_oi_other_rept_spread_1,pct_of_oi_other_rept_spread_2,pct_of_oi_prod_merc_long,pct_of_oi_prod_merc_long_1,pct_of_oi_prod_merc_long_2,pct_of_oi_prod_merc_short,pct_of_oi_prod_merc_short_1,pct_of_oi_prod_merc_short_2,pct_of_oi_swap_long_all,pct_of_oi_swap_long_old,pct_of_oi_swap_long_other,pct_of_oi_swap_short_all,pct_of_oi_swap_short_old,pct_of_oi_swap_short_other,pct_of_oi_swap_spread_all,pct_of_oi_swap_spread_old,pct_of_oi_swap_spread_other,pct_of_oi_tot_rept_long_all,pct_of_oi_tot_rept_long_old,pct_of_oi_tot_rept_long_other,pct_of_oi_tot_rept_short,pct_of_oi_tot_rept_short_1,pct_of_oi_tot_rept_short_2,pct_of_open_interest_all,pct_of_open_interest_old,pct_of_open_interest_other,prod_merc_positions_long,prod_merc_positions_long_1,prod_merc_positions_long_2,prod_merc_positions_short,prod_merc_positions_short_1,prod_merc_positions_short_2,report_date_as_yyyy_mm_dd,swap__positions_short_all,swap__positions_short_old,swap__positions_short_other,swap__positions_spread_all,swap__positions_spread_old,swap__positions_spread_other,swap_positions_long_all,swap_positions_long_old,swap_positions_long_other,tot_rept_positions_long_all,tot_rept_positions_long_old,tot_rept_positions_long_other,tot_rept_positions_short,tot_rept_positions_short_1,tot_rept_positions_short_2,traders_m_money_long_all,traders_m_money_long_old,traders_m_money_long_other,traders_m_money_short_all,traders_m_money_short_old,traders_m_money_short_other,traders_m_money_spread_all,traders_m_money_spread_old,traders_m_money_spread_other,traders_other_rept_long_all,traders_other_rept_long_old,traders_other_rept_long_other,traders_other_rept_short,traders_other_rept_short_1,traders_other_rept_short_2,traders_other_rept_spread,traders_other_rept_spread_1,traders_other_rept_spread_2,traders_prod_merc_long_all,traders_prod_merc_long_old,traders_prod_merc_long_other,traders_prod_merc_short_all,traders_prod_merc_short_old,traders_prod_merc_short_other,traders_swap_long_all,traders_swap_long_old,traders_swap_long_other,traders_swap_short_all,traders_swap_short_old,traders_swap_short_other,traders_swap_spread_all,traders_swap_spread_old,traders_swap_spread_other,traders_tot_all,traders_tot_old,traders_tot_other,traders_tot_rept_long_all,traders_tot_rept_long_old,traders_tot_rept_long_other,traders_tot_rept_short_all,traders_tot_rept_short_old,traders_tot_rept_short_other,yyyy_report_week_ww
067,067651,NYME,NYC,N10,-539,-21,14538,2539,71,19792,-6813,-1727,3050,8899,13879,-176,-8292,-1706,17253,19721,CRUDE OIL,NATURAL RESOURCES,CRUDE OIL,PETROLEUM AND PRODUCTS,22.5,22.5,0.0,22.9,22.9,0.0,33.6,33.6,0.0,34.4,34.4,0.0,11.1,11.1,0.0,16.2,16.2,0.0,17.9,17.9,0.0,23.5,23.5,0.0,WTI-PHYSICAL,"(CONTRACTS OF 1,000 BARRELS)",FutOnly,220104067651F,298199,298199,0,64844,64844,0,409425,409425,0,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",87930,87930,0,50799,50799,0,1887131,1887131,0,164395,164395,0,64925,64925,0,208454,208454,0,15.8,15.8,0.0,3.4,3.4,0.0,21.7,21.7,0.0,4.7,4.7,0.0,2.7,2.7,0.0,8.7,8.7,0.0,3.4,3.4,0.0,11.0,11.0,0.0,25.4,25.4,0.0,22.5,22.5,0.0,6.3,6.3,0.0,28.7,28.7,0.0,6.4,6.4,0.0,95.3,95.3,0.0,97.3,97.3,0.0,100.0,100.0,100.0,479021,479021,0,425137,425137,0,2022-01-04T00:00:00.000,542255,542255,0,121292,121292,0,118415,118415,0,1799201,1799201,0,1836332,1836332,0,77,77,0,29,29,0,60,60,0,56,56,0,40,40,0,73,73,0,64,64,0,64,64,0,15,15,0,23,23,0,28,28,0,331,331,0,295,295,0,252,252,0,2022 Report Week 01
085,085692,CMX,NYC,N25,4048,-1591,2423,454,664,5169,179,442,724,-2830,2175,352,513,-181,4715,4505,COPPER,NATURAL RESOURCES,COPPER,BASE METALS,22.8,22.8,0.0,33.4,33.4,0.0,32.9,32.9,0.0,49.1,49.1,0.0,22.8,22.8,0.0,32.2,32.2,0.0,31.7,31.7,0.0,47.3,47.3,0.0,COPPER- #1,"(CONTRACTS OF 25,000 POUNDS)",FutOnly,220104085692F,60718,60718,0,34542,34542,0,14842,14842,0,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,17048,17048,0,11962,11962,0,185905,185905,0,14489,14489,0,20906,20906,0,4410,4410,0,32.7,32.7,0.0,18.6,18.6,0.0,8.0,8.0,0.0,9.2,9.2,0.0,6.4,6.4,0.0,7.8,7.8,0.0,11.2,11.2,0.0,2.4,2.4,0.0,12.2,12.2,0.0,45.6,45.6,0.0,25.8,25.8,0.0,5.8,5.8,0.0,2.0,2.0,0.0,90.8,90.8,0.0,93.6,93.6,0.0,100.0,100.0,100.0,22676,22676,0,84680,84680,0,2022-01-04T00:00:00.000,10823,10823,0,3740,3740,0,47982,47982,0,168857,168857,0,173943,173943,0,82,82,0,25,25,0,40,40,0,37,37,0,27,27,0,25,25,0,31,31,0,45,45,0,22,22,0,9,9,0,10,10,0,253,253,0,201,201,0,154,154,0,2022 Report Week 01
088,088691,CMX,NYC,N20,-6137,-1982,3821,-5721,684,-6195,-1159,-3513,1915,527,-4151,411,-3117,148,-474,-6879,GOLD,NATURAL RESOURCES,GOLD,PRECIOUS METALS,24.1,24.1,0.0,26.4,26.4,0.0,34.9,34.9,0.0,45.3,45.3,0.0,23.5,23.5,0.0,26.3,26.3,0.0,32.2,32.2,0.0,45.0,45.0,0.0,GOLD,(CONTRACTS OF 100 TROY OUNCES),FutOnly,220104088691F,124252,124252,0,44744,44744,0,37276,37276,0,GOLD - COMMODITY EXCHANGE INC.,45400,45400,0,19297,19297,0,502717,502717,0,172331,172331,0,40484,40484,0,19200,19200,0,24.7,24.7,0.0,8.9,8.9,0.0,7.4,7.4,0.0,9.0,9.0,0.0,3.8,3.8,0.0,34.3,34.3,0.0,8.1,8.1,0.0,3.8,3.8,0.0,2.3,2.3,0.0,12.9,12.9,0.0,14.8,14.8,0.0,51.4,51.4,0.0,3.6,3.6,0.0,91.0,91.0,0.0,96.2,96.2,0.0,100.0,100.0,100.0,11574,11574,0,65049,65049,0,2022-01-04T00:00:00.000,258411,258411,0,18256,18256,0,74428,74428,0,457317,457317,0,483420,483420,0,76,76,0,28,28,0,41,41,0,97,97,0,38,38,0,40,40,0,10,10,0,22,22,0,19,19,0,28,28,0,20,20,0,318,318,0,253,253,0,171,171,0,2022 Report Week 01
067,067651,NYME,NYC,N10,11492,-13807,27433,3424,4120,79484,10284,7903,19283,33494,34315,-3885,22278,-22041,76060,75364,CRUDE OIL,NATURAL RESOURCES,CRUDE OIL,PETROLEUM AND PRODUCTS,22.1,22.1,0.0,22.3,22.3,0.0,32.9,32.9,0.0,33.3,33.3,0.0,10.1,10.1,0.0,16.0,16.0,0.0,16.5,16.5,0.0,23.3,23.3,0.0,WTI-PHYSICAL,"(CONTRACTS OF 1,000 BARRELS)",FutOnly,220111067651F,309691,309691,0,51037,51037,0,436858,436858,0,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",91354,91354,0,54919,54919,0,1966615,1966615,0,174679,174679,0,72828,72828,0,227737,227737,0,15.7,15.7,0.0,2.6,2.6,0.0,22.2,22.2,0.0,4.6,4.6,0.0,2.8,2.8,0.0,8.9,8.9,0.0,3.7,3.7,0.0,11.6,11.6,0.0,26.1,26.1,0.0,23.4,23.4,0.0,5.8,5.8,0.0,28.7,28.7,0.0,5.0,5.0,0.0,95.4,95.4,0.0,97.2,97.2,0.0,100.0,100.0,100.0,512515,512515,0,459452,459452,0,2022-01-11T00:00:00.000,564533,564533,0,99251,99251,0,114530,114530,0,1875261,1875261,0,1911696,1911696,0,80,80,0,30,30,0,64,64,0,57,57,0,43,43,0,80,80,0,62,62,0,65,65,0,16,16,0,25,25,0,29,29,0,343,343,0,309,309,0,262,262,0,2022 Report Week 02
088,088691,CMX,NYC,N20,-4955,243,12726,2923,3690,43799,-1526,4894,22597,3430,661,7548,-2068,1056,40876,40109,GOLD,NATURAL RESOURCES,GOLD,PRECIOUS METALS,22.9,22.9,0.0,24.3,24.3,0.0,34.2,34.2,0.0,42.9,42.9,0.0,21.0,21.0,0.0,24.3,24.3,0.0,29.6,29.6,0.0,41.2,41.2,0.0,GOLD,(CONTRACTS OF 100 TROY OUNCES),FutOnly,220111088691F,119297,119297,0,44987,44987,0,50002,50002,0,GOLD - COMMODITY EXCHANGE INC.,48323,48323,0,22987,22987,0,546516,546516,0,170805,170805,0,45378,45378,0,41797,41797,0,21.8,21.8,0.0,8.2,8.2,0.0,9.1,9.1,0.0,8.8,8.8,0.0,4.2,4.2,0.0,31.3,31.3,0.0,8.3,8.3,0.0,7.6,7.6,0.0,2.7,2.7,0.0,12.0,12.0,0.0,15.0,15.0,0.0,46.9,46.9,0.0,3.5,3.5,0.0,91.2,91.2,0.0,95.8,95.8,0.0,100.0,100.0,100.0,15004,15004,0,65710,65710,0,2022-01-11T00:00:00.000,256343,256343,0,19312,19312,0,81976,81976,0,498193,498193,0,523529,523529,0,83,83,0,30,30,0,45,45,0,97,97,0,41,41,0,41,41,0,13,13,0,19,19,0,20,20,0,26,26,0,20,20,0,327,327,0,266,266,0,175,175,0,2022 Report Week 02
085,085692,CMX,NYC,N25,-1610,2422,2327,429,-320,3773,211,-768,997,352,-1305,980,333,87,3344,4093,COPPER,NATURAL RESOURCES,COPPER,BASE METALS,22.5,22.5,0.0,31.1,31.1,0.0,33.3,33.3,0.0,47.1,47.1,0.0,22.3,22.3,0.0,29.7,29.7,0.0,31.4,31.4,0.0,45.0,45.0,0.0,COPPER- #1,"(CONTRACTS OF 25,000 POUNDS)",FutOnly,220111085692F,59108,59108,0,36964,36964,0,17169,17169,0,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,17477,17477,0,11642,11642,0,189678,189678,0,14700,14700,0,20138,20138,0,5407,5407,0,31.2,31.2,0.0,19.5,19.5,0.0,9.1,9.1,0.0,9.2,9.2,0.0,6.1,6.1,0.0,7.7,7.7,0.0,10.6,10.6,0.0,2.9,2.9,0.0,12.1,12.1,0.0,44.0,44.0,0.0,25.8,25.8,0.0,5.9,5.9,0.0,2.0,2.0,0.0,90.8,90.8,0.0,93.9,93.9,0.0,100.0,100.0,100.0,23028,23028,0,83375,83375,0,2022-01-11T00:00:00.000,11156,11156,0,3827,3827,0,48962,48962,0,172201,172201,0,178036,178036,0,75,75,0,26,26,0,40,40,0,39,39,0,27,27,0,28,28,0,30,30,0,43,43,0,21,21,0,8,8,0,9,9,0,247,247,0,199,199,0,151,151,0,2022 Report Week 02
088,088691,CMX,NYC,N20,510,3027,-10070,-1345,-2870,-7312,-84,2929,-12795,4184,4440,5247,986,7041,-5967,-4442,GOLD,NATURAL RESOURCES,GOLD,PRECIOUS METALS,21.8,21.8,0.0,25.5,25.5,0.0,32.3,32.3,0.0,42.8,42.8,0.0,21.1,21.1,0.0,24.9,24.9,0.0,30.0,30.0,0.0,41.6,41.6,0.0,GOLD,(CONTRACTS OF 100 TROY OUNCES),FutOnly,220118088691F,119807,119807,0,48014,48014,0,39932,39932,0,GOLD - COMMODITY EXCHANGE INC.,46978,46978,0,20117,20117,0,539204,539204,0,170721,170721,0,48307,48307,0,29002,29002,0,22.2,22.2,0.0,8.9,8.9,0.0,7.4,7.4,0.0,8.7,8.7,0.0,3.7,3.7,0.0,31.7,31.7,0.0,9.0,9.0,0.0,5.4,5.4,0.0,3.6,3.6,0.0,13.0,13.0,0.0,16.2,16.2,0.0,47.7,47.7,0.0,4.9,4.9,0.0,91.3,91.3,0.0,96.3,96.3,0.0,100.0,100.0,100.0,19188,19188,0,70150,70150,0,2022-01-18T00:00:00.000,257329,257329,0,26353,26353,0,87223,87223,0,492226,492226,0,519087,519087,0,81,81,0,31,31,0,41,41,0,95,95,0,42,42,0,43,43,0,12,12,0,21,21,0,19,19,0,27,27,0,22,22,0,326,326,0,268,268,0,173,173,0,2022 Report Week 03
085,085692,CMX,NYC,N25,2706,-2940,2628,1466,-927,13520,1159,1201,1923,1550,11258,2065,354,23,12054,14447,COPPER,NATURAL RESOURCES,COPPER,BASE METALS,21.6,21.6,0.0,31.7,31.7,0.0,31.9,31.9,0.0,46.2,46.2,0.0,21.1,21.1,0.0,29.8,29.8,0.0,30.3,30.3,0.0,43.3,43.3,0.0,COPPER- #1,"(CONTRACTS OF 25,000 POUNDS)",FutOnly,220118085692F,61814,61814,0,34024,34024,0,19797,19797,0,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,18943,18943,0,10715,10715,0,203198,203198,0,15859,15859,0,21339,21339,0,7330,7330,0,30.4,30.4,0.0,16.7,16.7,0.0,9.7,9.7,0.0,9.3,9.3,0.0,5.3,5.3,0.0,7.8,7.8,0.0,10.5,10.5,0.0,3.6,3.6,0.0,12.1,12.1,0.0,46.6,46.6,0.0,25.1,25.1,0.0,5.7,5.7,0.0,1.9,1.9,0.0,90.7,90.7,0.0,94.7,94.7,0.0,100.0,100.0,100.0,24578,24578,0,94633,94633,0,2022-01-18T00:00:00.000,11510,11510,0,3850,3850,0,51027,51027,0,184255,184255,0,192483,192483,0,80,80,0,28,28,0,44,44,0,36,36,0,29,29,0,29,29,0,33,33,0,47,47,0,23,23,0,8,8,0,13,13,0,259,259,0,211,211,0,165,165,0,2022 Report Week 03
067,067651,NYME,NYC,N10,14687,-6170,25056,11335,6499,92949,4121,-298,4221,38325,38790,-3537,26110,-1259,81614,86450,CRUDE OIL,NATURAL RESOURCES,CRUDE OIL,PETROLEUM AND PRODUCTS,22.8,22.8,0.0,23.3,23.3,0.0,33.5,33.5,0.0,34.2,34.2,0.0,9.4,9.4,0.0,15.6,15.6,0.0,15.4,15.4,0.0,22.9,22.9,0.0,WTI-PHYSICAL,"(CONTRACTS OF 1,000 BARRELS)",FutOnly,220118067651F,324378,324378,0,44867,44867,0,461914,461914,0,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",102689,102689,0,61418,61418,0,2059564,2059564,0,178800,178800,0,72530,72530,0,231958,231958,0,15.7,15.7,0.0,2.2,2.2,0.0,22.4,22.4,0.0,5.0,5.0,0.0,3.0,3.0,0.0,8.7,8.7,0.0,3.5,3.5,0.0,11.3,11.3,0.0,26.7,26.7,0.0,24.2,24.2,0.0,5.4,5.4,0.0,28.7,28.7,0.0,4.8,4.8,0.0,95.0,95.0,0.0,97.0,97.0,0.0,100.0,100.0,100.0,550840,550840,0,498242,498242,0,2022-01-18T00:00:00.000,590643,590643,0,97992,97992,0,110993,110993,0,1956875,1956875,0,1998146,1998146,0,83,83,0,25,25,0,67,67,0,58,58,0,41,41,0,76,76,0,61,61,0,63,63,0,14,14,0,26,26,0,27,27,0,335,335,0,303,303,0,255,255,0,2022 Report Week 03
067,067651,NYME,NYC,N10,-15546,111,65380,-4439,-10399,36430,4678,1387,-3639,-19520,-19675,-1343,-7594,10859,40869,46829,CRUDE OIL,NATURAL RESOURCES,CRUDE OIL,PETROLEUM AND PRODUCTS,22.2,22.2,0.0,23.4,23.4,0.0,32.5,32.5,0.0,34.7,34.7,0.0,9.1,9.1,0.0,15.1,15.1,0.0,15.0,15.0,0.0,22.4,22.4,0.0,WTI-PHYSICAL,"(CONTRACTS OF 1,000 BARRELS)",FutOnly,220125067651F,308832,308832,0,44978,44978,0,527294,527294,0,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",98250,98250,0,51019,51019,0,2095994,2095994,0,183478,183478,0,73917,73917,0,228319,228319,0,14.7,14.7,0.0,2.1,2.1,0.0,25.2,25.2,0.0,4.7,4.7,0.0,2.4,2.4,0.0,8.8,8.8,0.0,3.5,3.5,0.0,10.9,10.9,0.0,25.3,25.3,0.0,22.8,22.8,0.0,5.2,5.2,0.0,27.8,27.8,0.0,5.2,5.2,0.0,95.3,95.3,0.0,97.6,97.6,0.0,100.0,100.0,100.0,531320,531320,0,478567,478567,0,2022-01-25T00:00:00.000,583049,583049,0,108851,108851,0,109650,109650,0,1997744,1997744,0,2044975,2044975,0,87,87,0,25,25,0,70,70,0,60,60,0,39,39,0,77,77,0,65,65,0,66,66,0,16,16,0,25,25,0,28,28,0,340,340,0,310,310,0,263,263,0,2022 Report Week 04
