asset_mgr_positions_long,asset_mgr_positions_short,asset_mgr_positions_spread,cftc_commodity_code,cftc_contract_market_code,cftc_market_code,cftc_region_code,cftc_subgroup_code,change_in_asset_mgr_long,change_in_asset_mgr_short,change_in_asset_mgr_spread,change_in_dealer_long_all,change_in_dealer_short_all,change_in_dealer_spread_all,change_in_lev_money_long,change_in_lev_money_short,change_in_lev_money_spread,change_in_nonrept_long_all,change_in_nonrept_short_all,change_in_open_interest_all,change_in_other_rept_long,change_in_other_rept_short,change_in_other_rept_spread,change_in_tot_rept_long_all,change_in_tot_rept_short,commodity,commodity_group_name,commodity_name,commodity_subgroup_name,conc_gross_le_4_tdr_long,conc_gross_le_4_tdr_short,conc_gross_le_8_tdr_long,conc_gross_le_8_tdr_short,conc_net_le_4_tdr_long_all,conc_net_le_4_tdr_short_all,conc_net_le_8_tdr_long_all,conc_net_le_8_tdr_short_all,contract_market_name,contract_units,dealer_positions_long_all,dealer_positions_short_all,dealer_positions_spread_all,futonly_or_combined,id,lev_money_positions_long,lev_money_positions_short,lev_money_positions_spread,market_and_exchange_names,nonrept_positions_long_all,nonrept_positions_short_all,open_interest_all,other_rept_positions_long,other_rept_positions_short,other_rept_positions_spread,pct_of_oi_asset_mgr_long,pct_of_oi_asset_mgr_short,pct_of_oi_asset_mgr_spread,pct_of_oi_dealer_long_all,pct_of_oi_dealer_short_all,pct_of_oi_dealer_spread_all,pct_of_oi_lev_money_long,pct_of_oi_lev_money_short,pct_of_oi_lev_money_spread,pct_of_oi_nonrept_long_all,pct_of_oi_nonrept_short_all,pct_of_oi_other_rept_long,pct_of_oi_other_rept_short,pct_of_oi_other_rept_spread,pct_of_oi_tot_rept_long_all,pct_of_oi_tot_rept_short,pct_of_open_interest_all,report_date_as_yyyy_mm_dd,tot_rept_positions_long_all,tot_rept_positions_short,traders_asset_mgr_long_all,traders_asset_mgr_short_all,traders_asset_mgr_spread,traders_dealer_long_all,traders_dealer_short_all,traders_dealer_spread_all,traders_lev_money_long_all,traders_lev_money_short_all,traders_lev_money_spread,traders_other_rept_long_all,traders_other_rept_short,traders_other_rept_spread,traders_tot_all,traders_tot_rept_long_all,traders_tot_rept_short_all,yyyy_report_week_ww
1322332,535710,273410,138,13874A,CME,CHI,F20,23648,8763,-4252,33534,3104,-25,3982,14578,4186,8690,12368,54575,-16470,14571,1282,45885,42207,,,S&P BROAD BASED STOCK INDICES,,14.0,20.1,24.2,29.1,12.8,19.9,22.0,28.5,E-MINI S&P 500,($50 X S&P 500 INDEX),283967,662213,21404,FutOnly,21010513874AF,245863,426881,29808,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,265012,230577,2553480,106809,368602,4875,51.8,21.0,10.7,11.1,25.9,0.8,9.6,16.7,1.2,10.4,9.0,4.2,14.4,0.2,89.6,91.0,100.0,2021-01-05T00:00:00.000,2288468,2322903,163,84,114,33,36,15,70,90,53,30,30,4,536,372,350,2021 Report Week 01
1289964,1093834,633460,043,043602,CBT,CHI,F30,-50072,-49485,16340,9513,-42515,-3372,-31326,-3900,14505,5702,28821,-39559,-850,46,1,-45261,-68380,"T-NOTES, 6.5-10 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 6.5-10 YEAR",Interest Rates - U.S. Treasury,17.2,22.6,27.1,31.9,12.3,13.2,21.3,21.8,UST 10Y NOTE,"(CONTRACTS OF $100,000 FACE VALUE)",215826,223573,30563,FutOnly,210105043602F,352471,615702,61286,10-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,377535,419769,3221183,257984,140902,2094,40.0,34.0,19.7,6.7,6.9,0.9,10.9,19.1,1.9,11.7,13.0,8.0,4.4,0.1,88.3,87.0,100.0,2021-01-05T00:00:00.000,2843648,2801414,88,76,93,22,32,11,41,75,31,19,15,,368,243,263,2021 Report Week 01
876879,509151,264067,042,042601,CBT,CHI,F30,30077,-20122,600,-7376,-24083,1320,-6371,82868,-15344,-898,-1370,5395,3394,-18467,-7,6293,6765,"T-NOTES, 1-2 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 1-2 YEAR",Interest Rates - U.S. Treasury,17.5,34.1,26.1,48.4,15.1,30.1,22.9,42.3,UST 2Y NOTE,"(CONTRACTS OF $200,000 FACE VALUE)",31897,140900,11238,FutOnly,210105042601F,372748,852410,21742,2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,169319,96127,1928625,179781,32036,954,45.5,26.4,13.7,1.7,7.3,0.6,19.3,44.2,1.1,8.8,5.0,9.3,1.7,0.0,91.2,95.0,100.0,2021-01-05T00:00:00.000,1759306,1832498,92,29,64,12,29,7,53,40,21,23,6,,284,211,168,2021 Report Week 01
1312800,500375,285977,138,13874A,CME,CHI,F20,-9532,-35335,12567,9838,30137,5688,12643,21533,-2814,-4095,24789,24634,2038,-30232,-1699,28729,-155,,,S&P BROAD BASED STOCK INDICES,,13.8,18.2,23.3,27.1,12.4,17.4,21.2,26.2,E-MINI S&P 500,($50 X S&P 500 INDEX),293805,692350,27092,FutOnly,21011213874AF,258506,448414,26994,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,260917,255366,2578114,108847,338370,3176,50.9,19.4,11.1,11.4,26.9,1.1,10.0,17.4,1.0,10.1,9.9,4.2,13.1,0.1,89.9,90.1,100.0,2021-01-12T00:00:00.000,2317197,2322748,166,81,112,32,40,15,67,88,43,33,26,6,533,370,339,2021 Report Week 02
1214100,1229373,713396,043,043602,CBT,CHI,F30,-75864,135539,79936,-19488,-33131,2448,98715,-106277,12609,-19252,50800,139294,61919,-901,-1729,158546,88494,"T-NOTES, 6.5-10 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 6.5-10 YEAR",Interest Rates - U.S. Treasury,17.0,25.1,25.7,33.9,11.4,15.8,18.5,24.0,UST 10Y NOTE,"(CONTRACTS OF $100,000 FACE VALUE)",196338,190442,33011,FutOnly,210112043602F,451186,509425,73895,10-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,358283,470569,3360477,319903,140001,365,36.1,36.6,21.2,5.8,5.7,1.0,13.4,15.2,2.2,10.7,14.0,9.5,4.2,0.0,89.3,86.0,100.0,2021-01-12T00:00:00.000,3002194,2889908,90,76,91,29,36,9,61,60,36,26,11,,389,275,252,2021 Report Week 02
880709,521771,268540,042,042601,CBT,CHI,F30,3830,12620,4473,9392,-6896,3333,15289,-3808,16510,-839,2130,46109,-6096,17530,217,46948,43979,"T-NOTES, 1-2 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 1-2 YEAR",Interest Rates - U.S. Treasury,18.8,34.0,27.9,47.8,17.0,30.2,24.6,41.2,UST 2Y NOTE,"(CONTRACTS OF $200,000 FACE VALUE)",41289,134004,14571,FutOnly,210112042601F,388037,848602,38252,2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,168480,98257,1974734,173685,49566,1171,44.6,26.4,13.6,2.1,6.8,0.7,19.6,43.0,1.9,8.5,5.0,8.8,2.5,0.1,91.5,95.0,100.0,2021-01-12T00:00:00.000,1806254,1876477,92,31,67,8,27,8,54,36,26,20,10,4,278,208,175,2021 Report Week 02
1343369,502797,281940,138,13874A,CME,CHI,F20,30569,2422,-4037,7903,17082,50,-15771,-4582,5013,-3868,-9598,21194,939,14448,396,25062,30792,,,S&P BROAD BASED STOCK INDICES,,13.3,17.8,22.8,26.8,12.1,16.9,20.7,25.9,E-MINI S&P 500,($50 X S&P 500 INDEX),301708,709432,27142,FutOnly,21011913874AF,242735,443832,32007,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,257049,245768,2599308,109786,352818,3572,51.7,19.3,10.8,11.6,27.3,1.0,9.3,17.1,1.2,9.9,9.5,4.2,13.6,0.1,90.1,90.5,100.0,2021-01-19T00:00:00.000,2342259,2353540,166,82,115,30,39,15,64,94,44,32,25,6,532,365,347,2021 Report Week 03
1210222,1210982,716134,043,043602,CBT,CHI,F30,-3878,-18391,2738,-19637,56189,510,62734,-49144,3598,-15959,-6701,8760,-21295,20012,-51,24719,15461,"T-NOTES, 6.5-10 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 6.5-10 YEAR",Interest Rates - U.S. Treasury,17.1,24.9,26.0,34.1,11.3,15.7,19.2,23.6,UST 10Y NOTE,"(CONTRACTS OF $100,000 FACE VALUE)",176701,246631,33521,FutOnly,210119043602F,513920,460281,77493,10-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,342324,463868,3369237,298608,160013,314,35.9,35.9,21.3,5.2,7.3,1.0,15.3,13.7,2.3,10.2,13.8,8.9,4.7,0.0,89.8,86.2,100.0,2021-01-19T00:00:00.000,3026913,2905369,88,77,90,25,42,10,53,65,42,24,17,,391,268,268,2021 Report Week 03
858159,466094,274761,042,042601,CBT,CHI,F30,-22550,-55677,6221,19648,10584,1531,7709,55622,-15749,4601,1932,-2770,-4104,-7157,-77,-7371,-4702,"T-NOTES, 1-2 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 1-2 YEAR",Interest Rates - U.S. Treasury,19.0,34.6,28.3,49.6,16.9,31.3,24.6,43.4,UST 2Y NOTE,"(CONTRACTS OF $200,000 FACE VALUE)",60937,144588,16102,FutOnly,210119042601F,395746,904224,22503,2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,173081,100189,1971964,169581,42409,1094,43.5,23.6,13.9,3.1,7.3,0.8,20.1,45.9,1.1,8.8,5.1,8.6,2.2,0.1,91.2,94.9,100.0,2021-01-19T00:00:00.000,1798883,1871775,89,29,68,12,26,9,51,37,23,21,8,4,273,205,172,2021 Report Week 03
1315434,478931,276306,138,13874A,CME,CHI,F20,-27935,-23866,-5634,42687,16003,-99,969,35825,5728,7298,-19299,17997,-6351,8005,1334,10699,37296,,,S&P BROAD BASED STOCK INDICES,,13.3,18.1,21.8,27.2,11.8,17.2,19.9,26.3,E-MINI S&P 500,($50 X S&P 500 INDEX),344395,725435,27043,FutOnly,21012613874AF,243704,479657,37735,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,264347,226469,2617305,103435,360823,4906,50.3,18.3,10.6,13.2,27.7,1.0,9.3,18.3,1.4,10.1,8.7,4.0,13.8,0.2,89.9,91.3,100.0,2021-01-26T00:00:00.000,2352958,2390836,170,75,117,31,37,15,69,94,49,35,27,6,539,379,347,2021 Report Week 04
