date,adv_dec_ratio,pct_above_50ma,pct_above_200ma,advancing,declining,total_sectors
2019-03-15,9.0,100.0,0.0,9,0,9
2019-03-22,1.25,100.0,0.0,5,4,9
2019-03-29,3.5,100.0,0.0,7,2,9
2019-04-05,3.5,100.0,0.0,7,2,9
2019-04-12,3.5,88.9,0.0,7,2,9
2019-04-19,1.25,88.9,0.0,5,4,9
2019-04-26,3.5,88.9,0.0,7,2,9
2019-05-03,2.0,77.8,0.0,6,3,9
2019-05-10,0.0,77.8,0.0,0,9,9
2019-05-17,0.5,55.6,0.0,3,6,9
2019-05-24,0.5,33.3,0.0,3,6,9
2019-05-31,0.0,22.2,0.0,0,9,9
2019-06-07,9.0,55.6,0.0,9,0,9
2019-06-14,2.0,66.7,0.0,6,3,9
2019-06-21,9.0,100.0,0.0,9,0,9
2019-06-28,0.29,100.0,0.0,2,7,9
2019-07-05,9.0,100.0,0.0,9,0,9
2019-07-12,2.0,100.0,0.0,6,3,9
2019-07-19,0.12,88.9,0.0,1,8,9
2019-07-26,3.5,100.0,0.0,7,2,9
2019-08-02,0.29,55.6,0.0,2,7,9
2019-08-09,1.25,44.4,0.0,5,4,9
2019-08-16,0.5,33.3,0.0,3,6,9
2019-08-23,0.29,33.3,0.0,2,7,9
2019-08-30,9.0,44.4,0.0,9,0,9
2019-09-06,9.0,77.8,0.0,9,0,9
2019-09-13,2.0,100.0,0.0,6,3,9
2019-09-20,0.8,100.0,0.0,4,5,9
2019-09-27,0.5,55.6,0.0,3,6,9
2019-10-04,2.0,44.4,0.0,6,3,9
2019-10-11,1.25,77.8,0.0,5,4,9
2019-10-18,1.25,88.9,88.9,5,4,9
2019-10-25,3.5,100.0,88.9,7,2,9
2019-11-01,2.0,88.9,88.9,6,3,9
2019-11-08,1.25,66.7,88.9,5,4,9
2019-11-15,8.0,77.8,88.9,8,1,9
2019-11-22,0.5,66.7,88.9,3,6,9
2019-11-29,8.0,66.7,88.9,8,1,9
2019-12-06,1.25,77.8,88.9,5,4,9
2019-12-13,3.5,88.9,88.9,7,2,9
2019-12-20,9.0,88.9,100.0,9,0,9
2019-12-27,9.0,100.0,100.0,9,0,9
2020-01-03,0.8,100.0,100.0,4,5,9
2020-01-10,3.5,100.0,100.0,7,2,9
2020-01-17,8.0,100.0,100.0,8,1,9
2020-01-24,0.5,88.9,88.9,3,6,9
2020-01-31,0.12,66.7,88.9,1,8,9
2020-02-07,8.0,88.9,88.9,8,1,9
2020-02-14,9.0,88.9,88.9,9,0,9
2020-02-21,0.5,88.9,88.9,3,6,9
2020-02-28,0.0,0.0,11.1,0,9,9
2020-03-06,1.25,11.1,55.6,5,4,9
2020-03-13,0.0,0.0,0.0,0,9,9
2020-03-20,0.0,0.0,0.0,0,9,9
2020-03-27,9.0,0.0,0.0,9,0,9
2020-04-03,0.5,0.0,0.0,3,6,9
2020-04-10,9.0,11.1,22.2,9,0,9
2020-04-17,2.0,44.4,33.3,6,3,9
2020-04-24,0.29,55.6,22.2,2,7,9
2020-05-01,0.8,66.7,22.2,4,5,9
2020-05-08,9.0,88.9,33.3,9,0,9
2020-05-15,0.12,66.7,33.3,1,8,9
2020-05-22,8.0,100.0,44.4,8,1,9
2020-05-29,9.0,100.0,44.4,9,0,9
2020-06-05,9.0,100.0,77.8,9,0,9
2020-06-12,0.0,77.8,44.4,0,9,9
2020-06-19,2.0,88.9,44.4,6,3,9
2020-06-26,0.0,44.4,44.4,0,9,9
2020-07-03,8.0,88.9,44.4,8,1,9
2020-07-10,0.8,88.9,55.6,4,5,9
2020-07-17,3.5,88.9,55.6,7,2,9
2020-07-24,0.8,88.9,55.6,4,5,9
2020-07-31,3.5,88.9,77.8,7,2,9
2020-08-07,9.0,88.9,88.9,9,0,9
2020-08-14,2.0,100.0,88.9,6,3,9
2020-08-21,2.0,88.9,77.8,6,3,9
2020-08-28,8.0,88.9,77.8,8,1,9
2020-09-04,0.12,88.9,77.8,1,8,9
2020-09-11,0.0,55.6,66.7,0,9,9
2020-09-18,0.8,33.3,77.8,4,5,9
2020-09-25,0.5,22.2,66.7,3,6,9
2020-10-02,8.0,66.7,88.9,8,1,9
2020-10-09,9.0,88.9,88.9,9,0,9
2020-10-16,1.25,88.9,88.9,5,4,9
2020-10-23,0.8,77.8,88.9,4,5,9
2020-10-30,0.0,11.1,77.8,0,9,9
2020-11-06,9.0,77.8,88.9,9,0,9
2020-11-13,8.0,100.0,88.9,8,1,9
2020-11-20,0.5,100.0,100.0,3,6,9
2020-11-27,3.5,100.0,100.0,7,2,9
2020-12-04,3.5,88.9,100.0,7,2,9
2020-12-11,0.12,77.8,100.0,1,8,9
2020-12-18,8.0,88.9,100.0,8,1,9
2020-12-25,0.12,88.9,100.0,1,8,9
2021-01-01,8.0,88.9,100.0,8,1,9
2021-01-08,2.0,77.8,100.0,6,3,9
2021-01-15,0.5,77.8,100.0,3,6,9
2021-01-22,2.0,88.9,100.0,6,3,9
2021-01-29,0.0,55.6,100.0,0,9,9
2021-02-05,9.0,88.9,100.0,9,0,9
2021-02-12,2.0,88.9,100.0,6,3,9
2021-02-19,0.29,66.7,100.0,2,7,9
2021-02-26,0.12,44.4,88.9,1,8,9
2021-03-05,2.0,33.3,88.9,6,3,9
2021-03-12,9.0,77.8,100.0,9,0,9
2021-03-19,0.5,66.7,100.0,3,6,9
2021-03-26,3.5,88.9,100.0,7,2,9
2021-04-02,9.0,100.0,100.0,9,0,9
2021-04-09,8.0,100.0,100.0,8,1,9
2021-04-16,8.0,88.9,100.0,8,1,9
2021-04-23,0.5,88.9,100.0,3,6,9
2021-04-30,3.5,100.0,100.0,7,2,9
2021-05-07,1.25,100.0,100.0,5,4,9
2021-05-14,0.12,77.8,100.0,1,8,9
2021-05-21,1.25,77.8,100.0,5,4,9
2021-05-28,2.0,77.8,100.0,6,3,9
2021-06-04,3.5,77.8,100.0,7,2,9
2021-06-11,2.0,88.9,100.0,6,3,9
2021-06-18,0.12,55.6,100.0,1,8,9
2021-06-25,9.0,66.7,100.0,9,0,9
2021-07-02,8.0,88.9,100.0,8,1,9
2021-07-09,8.0,77.8,100.0,8,1,9
2021-07-16,0.5,77.8,100.0,3,6,9
2021-07-23,3.5,88.9,100.0,7,2,9
2021-07-30,1.25,88.9,100.0,5,4,9
2021-08-06,8.0,88.9,100.0,8,1,9
2021-08-13,8.0,88.9,100.0,8,1,9
2021-08-20,1.25,66.7,88.9,5,4,9
2021-08-27,1.25,88.9,100.0,5,4,9
2021-09-03,3.5,88.9,100.0,7,2,9
2021-09-10,0.0,77.8,100.0,0,9,9
2021-09-17,0.29,55.6,100.0,2,7,9
2021-09-24,0.8,33.3,100.0,4,5,9
2021-10-01,0.12,11.1,100.0,1,8,9
2021-10-08,2.0,22.2,100.0,6,3,9
2021-10-15,8.0,44.4,100.0,8,1,9
2021-10-22,9.0,88.9,100.0,9,0,9
2021-10-29,0.8,88.9,100.0,4,5,9
2021-11-05,8.0,88.9,100.0,8,1,9
2021-11-12,0.5,88.9,100.0,3,6,9
2021-11-19,0.8,77.8,100.0,4,5,9
2021-11-26,0.0,77.8,88.9,0,9,9
