date,bullish,bearish,neutral,spread,vix,source
2019-01-04,48.1,29.1,22.8,19.0,21.38,VIX_PROXY
2019-01-11,53.9,24.3,21.9,29.6,18.19,VIX_PROXY
2019-01-18,54.6,23.7,21.7,30.9,17.8,VIX_PROXY
2019-01-25,55.2,23.1,21.6,32.1,17.42,VIX_PROXY
2019-02-01,57.5,21.2,21.2,36.3,16.14,VIX_PROXY
2019-02-08,58.3,20.6,21.1,37.7,15.72,VIX_PROXY
2019-02-15,59.8,19.4,20.9,40.4,14.91,VIX_PROXY
2019-02-22,62.3,17.3,20.5,45.0,13.51,VIX_PROXY
2019-03-01,62.2,17.4,20.5,44.8,13.57,VIX_PROXY
2019-03-08,57.7,21.1,21.2,36.6,16.05,VIX_PROXY
2019-03-15,63.4,16.3,20.3,47.1,12.88,VIX_PROXY
2019-03-22,56.9,21.7,21.3,35.2,16.48,VIX_PROXY
2019-03-29,61.9,17.6,20.5,44.4,13.71,VIX_PROXY
2019-04-05,63.5,16.2,20.2,47.3,12.82,VIX_PROXY
2019-04-12,65.0,15.0,20.0,50.0,12.01,VIX_PROXY
2019-04-19,64.8,15.1,20.0,49.7,12.09,VIX_PROXY
2019-04-26,63.7,16.1,20.2,47.6,12.73,VIX_PROXY
2019-05-03,63.4,16.3,20.3,47.1,12.87,VIX_PROXY
2019-05-10,57.7,21.1,21.2,36.7,16.04,VIX_PROXY
2019-05-17,57.9,20.9,21.2,36.9,15.96,VIX_PROXY
2019-05-24,58.1,20.8,21.2,37.3,15.85,VIX_PROXY
2019-05-31,52.9,25.1,22.0,27.9,18.71,VIX_PROXY
2019-06-07,57.3,21.5,21.3,35.8,16.3,VIX_PROXY
2019-06-14,59.1,19.9,21.0,39.2,15.28,VIX_PROXY
2019-06-21,58.9,20.1,21.0,38.8,15.4,VIX_PROXY
2019-06-28,59.5,19.6,20.9,39.8,15.08,VIX_PROXY
2019-07-05,62.7,16.9,20.4,45.8,13.28,VIX_PROXY
2019-07-12,64.3,15.6,20.1,48.7,12.39,VIX_PROXY
2019-07-19,60.6,18.7,20.7,41.9,14.45,VIX_PROXY
2019-07-26,64.7,15.2,20.0,49.5,12.16,VIX_PROXY
2019-08-02,54.9,23.4,21.7,31.5,17.61,VIX_PROXY
2019-08-09,54.3,24.0,21.8,30.3,17.97,VIX_PROXY
2019-08-16,53.4,24.7,21.9,28.6,18.47,VIX_PROXY
2019-08-23,50.8,26.8,22.4,24.0,19.87,VIX_PROXY
2019-08-30,52.4,25.5,22.1,27.0,18.98,VIX_PROXY
2019-09-06,59.6,19.5,20.9,40.1,15.0,VIX_PROXY
2019-09-13,61.9,17.6,20.5,44.3,13.74,VIX_PROXY
2019-09-20,59.0,20.0,21.0,39.0,15.32,VIX_PROXY
2019-09-27,55.6,22.8,21.6,32.8,17.22,VIX_PROXY
2019-10-04,55.9,22.6,21.5,33.4,17.04,VIX_PROXY
2019-10-11,58.6,20.4,21.1,38.2,15.58,VIX_PROXY
2019-10-18,61.0,18.4,20.7,42.6,14.25,VIX_PROXY
2019-10-25,63.8,16.0,20.2,47.9,12.65,VIX_PROXY
2019-11-01,64.5,15.4,20.1,49.0,12.3,VIX_PROXY
2019-11-08,64.9,15.1,20.0,49.8,12.07,VIX_PROXY
2019-11-15,64.9,15.1,20.0,49.8,12.05,VIX_PROXY
2019-11-22,64.4,15.5,20.1,48.9,12.34,VIX_PROXY
2019-11-29,63.9,15.9,20.2,48.0,12.62,VIX_PROXY
2019-12-06,62.1,17.4,20.5,44.7,13.62,VIX_PROXY
2019-12-13,63.9,15.9,20.2,47.9,12.63,VIX_PROXY
2019-12-20,64.1,15.8,20.2,48.3,12.51,VIX_PROXY
2019-12-27,62.4,17.1,20.4,45.3,13.43,VIX_PROXY
2020-01-03,61.4,18.0,20.6,43.3,14.02,VIX_PROXY
2020-01-10,64.0,15.8,20.2,48.2,12.56,VIX_PROXY
2020-01-17,64.8,15.2,20.0,49.7,12.1,VIX_PROXY
2020-01-24,60.4,18.8,20.8,41.6,14.56,VIX_PROXY
2020-01-31,52.7,25.3,22.1,27.4,18.84,VIX_PROXY
2020-02-07,58.8,20.2,21.0,38.5,15.47,VIX_PROXY
2020-02-14,62.0,17.5,20.5,44.5,13.68,VIX_PROXY
2020-02-21,55.9,22.6,21.5,33.2,17.08,VIX_PROXY
2020-02-28,15,57.2,27.8,-42.2,40.11,VIX_PROXY
