date,tenor_d,atm,rr25,rr10,bf25,spot,dvol
2026-06-10,7,0.635986,-0.110122,-0.273582,0.031311,1619.82,62.40
2026-06-10,30,0.587148,-0.095939,-0.227292,0.023372,1619.82,62.40
2026-06-10,60,0.574072,-0.069649,-0.170939,0.018608,1619.82,62.40
2026-06-10,90,0.569956,-0.053735,-0.140240,0.017675,1619.82,62.40
2026-06-10,180,0.580258,-0.039078,-0.104947,0.016638,1619.82,62.40
2026-06-11,7,0.584218,-0.087820,-0.212966,0.026671,1656.67,60.21
2026-06-11,30,0.565288,-0.081279,-0.193895,0.023168,1656.67,60.21
2026-06-11,60,0.562826,-0.065719,-0.159278,0.019661,1656.67,60.21
2026-06-11,90,0.564506,-0.051121,-0.141104,0.017845,1656.67,60.21
2026-06-11,180,0.578547,-0.036051,-0.100168,0.017359,1656.67,60.21
